SEASON,TEAM_ID,TEAM_NAME,GP,W,L,FG3M,FG3A,FG3_PCT,PTS,THREES_PER_GAME,THREES_ATT_PER_GAME,POINTS_FROM_3,PERCENT_POINTS_3
2015-16,1610612754,Indiana Pacers,82,45,37,663,1889,0.351,8377,8.085365853658537,23.036585365853657,1989,0.23743583621821654
2015-16,1610612746,LA Clippers,82,53,29,797,2190,0.364,8569,9.71951219512195,26.70731707317073,2391,0.27902905823316604
2015-16,1610612747,Los Angeles Lakers,82,17,65,639,2016,0.317,7982,7.7926829268292686,24.585365853658537,1917,0.24016537208719618
2015-16,1610612763,Memphis Grizzlies,82,42,40,504,1521,0.331,8126,6.146341463414634,18.548780487804876,1512,0.1860694068422348
2015-16,1610612748,Miami Heat,82,48,34,498,1480,0.336,8204,6.073170731707317,18.048780487804876,1494,0.18210628961482203
2015-16,1610612749,Milwaukee Bucks,82,33,49,440,1277,0.345,8122,5.365853658536586,15.573170731707316,1320,0.16252154641713865
2015-16,1610612750,Minnesota Timberwolves,82,29,53,455,1347,0.338,8398,5.548780487804878,16.426829268292682,1365,0.16253869969040247
2015-16,1610612740,New Orleans Pelicans,82,30,52,702,1951,0.36,8423,8.560975609756097,23.79268292682927,2106,0.25002968063635284
2015-16,1610612752,New York Knicks,82,32,50,610,1762,0.346,8065,7.439024390243903,21.48780487804878,1830,0.226906385616863
2015-16,1610612760,Oklahoma City Thunder,82,55,27,678,1945,0.349,9038,8.268292682926829,23.71951219512195,2034,0.22504978977649923
2015-16,1610612753,Orlando Magic,82,35,47,636,1818,0.35,8369,7.7560975609756095,22.170731707317074,1908,0.22798422750627315
2015-16,1610612755,Philadelphia 76ers,82,10,72,764,2255,0.339,7988,9.317073170731707,27.5,2292,0.28693039559339006
2015-16,1610612756,Phoenix Suns,82,23,59,738,2118,0.348,8271,9.0,25.829268292682926,2214,0.2676822633297062
2015-16,1610612757,Portland Trail Blazers,82,44,38,864,2336,0.37,8622,10.536585365853659,28.48780487804878,2592,0.30062630480167013
2015-16,1610612758,Sacramento Kings,82,33,49,660,1839,0.359,8740,8.048780487804878,22.426829268292682,1980,0.22654462242562928
2015-16,1610612759,San Antonio Spurs,82,67,15,570,1518,0.375,8490,6.951219512195122,18.51219512195122,1710,0.20141342756183744
2015-16,1610612761,Toronto Raptors,82,56,26,708,1915,0.37,8422,8.634146341463415,23.353658536585368,2124,0.2521966278793636
2015-16,1610612762,Utah Jazz,82,40,42,694,1956,0.355,8010,8.463414634146341,23.853658536585368,2082,0.2599250936329588
2015-16,1610612764,Washington Wizards,82,41,41,709,1983,0.358,8534,8.646341463414634,24.182926829268293,2127,0.24923834075462856
2016-17,1610612737,Atlanta Hawks,82,43,39,729,2137,0.341,8459,8.890243902439025,26.0609756097561,2187,0.2585411987232533
2016-17,1610612738,Boston Celtics,82,53,29,985,2741,0.359,8857,12.012195121951219,33.426829268292686,2955,0.3336344134582816
2016-17,1610612751,Brooklyn Nets,82,20,62,877,2591,0.338,8673,10.695121951219512,31.597560975609756,2631,0.30335524040124523
2016-17,1610612766,Charlotte Hornets,82,36,46,824,2347,0.351,8601,10.048780487804878,28.621951219512194,2472,0.28740844087896755
2016-17,1610612741,Chicago Bulls,82,41,41,623,1831,0.34,8435,7.597560975609756,22.329268292682926,1869,0.22157676348547717
2016-17,1610612739,Cleveland Cavaliers,82,51,31,1067,2779,0.384,9048,13.012195121951219,33.890243902439025,3201,0.35377984084880637
2016-17,1610612742,Dallas Mavericks,82,33,49,878,2473,0.355,8029,10.707317073170731,30.158536585365855,2634,0.3280607796736829
2016-17,1610612743,Denver Nuggets,82,40,42,870,2365,0.368,9161,10.609756097560975,28.841463414634145,2610,0.2849033948258924
2016-17,1610612765,Detroit Pistons,82,37,45,631,1915,0.33,8309,7.695121951219512,23.353658536585368,1893,0.22782524972920928
2016-17,1610612744,Golden State Warriors,82,67,15,982,2562,0.383,9503,11.975609756097562,31.24390243902439,2946,0.3100073660949174
2016-17,1610612745,Houston Rockets,82,55,27,1181,3306,0.357,9458,14.402439024390244,40.31707317073171,3543,0.374603510255868
2016-17,1610612754,Indiana Pacers,82,42,40,709,1885,0.376,8618,8.646341463414634,22.98780487804878,2127,0.24680900440937573
2016-17,1610612746,LA Clippers,82,51,31,841,2245,0.375,8911,10.25609756097561,27.378048780487806,2523,0.2831332061497026
2016-17,1610612747,Los Angeles Lakers,82,26,56,730,2110,0.346,8575,8.902439024390244,25.73170731707317,2190,0.2553935860058309
2016-17,1610612763,Memphis Grizzlies,82,43,39,767,2169,0.354,8239,9.353658536585366,26.451219512195124,2301,0.27928146619735406
2016-17,1610612748,Miami Heat,82,41,41,808,2213,0.365,8460,9.853658536585366,26.98780487804878,2424,0.2865248226950355
2016-17,1610612749,Milwaukee Bucks,82,42,40,720,1946,0.37,8497,8.78048780487805,23.73170731707317,2160,0.25420736730610805
2016-17,1610612750,Minnesota Timberwolves,82,31,51,601,1723,0.349,8657,7.329268292682927,21.01219512195122,1803,0.20827076354395288
2016-17,1610612740,New Orleans Pelicans,82,34,48,768,2196,0.35,8556,9.365853658536585,26.78048780487805,2304,0.26928471248246844
2016-17,1610612752,New York Knicks,82,31,51,704,2022,0.348,8556,8.585365853658537,24.658536585365855,2112,0.24684431977559607
2016-17,1610612760,Oklahoma City Thunder,82,47,35,692,2116,0.327,8741,8.439024390243903,25.804878048780488,2076,0.23750143004232926
2016-17,1610612753,Orlando Magic,82,29,53,701,2139,0.328,8288,8.548780487804878,26.085365853658537,2103,0.2537403474903475
2016-17,1610612755,Philadelphia 76ers,82,28,54,831,2443,0.34,8400,10.134146341463415,29.79268292682927,2493,0.29678571428571426
2016-17,1610612756,Phoenix Suns,82,24,58,615,1854,0.332,8831,7.5,22.609756097560975,1845,0.20892311176537198
2016-17,1610612757,Portland Trail Blazers,82,41,41,852,2272,0.375,8851,10.390243902439025,27.70731707317073,2556,0.2887809287086205
2016-17,1610612758,Sacramento Kings,82,32,50,737,1960,0.376,8430,8.987804878048781,23.902439024390244,2211,0.26227758007117435
2016-17,1610612759,San Antonio Spurs,82,61,21,753,1927,0.391,8637,9.182926829268293,23.5,2259,0.2615491490100729
2016-17,1610612761,Toronto Raptors,82,51,31,725,1996,0.363,8762,8.841463414634147,24.341463414634145,2175,0.24823099748915772
2016-17,1610612762,Utah Jazz,82,51,31,791,2128,0.372,8258,9.646341463414634,25.951219512195124,2373,0.28735771373213853
2016-17,1610612764,Washington Wizards,82,49,33,756,2030,0.372,8953,9.21951219512195,24.75609756097561,2268,0.253322908522283
2017-18,1610612737,Atlanta Hawks,82,24,58,917,2544,0.36,8475,11.182926829268293,31.024390243902438,2751,0.3246017699115044
2017-18,1610612738,Boston Celtics,82,55,27,939,2492,0.377,8529,11.451219512195122,30.390243902439025,2817,0.33028491030601476
2017-18,1610612751,Brooklyn Nets,82,28,54,1041,2924,0.356,8741,12.695121951219512,35.65853658536585,3123,0.357281775540556
2017-18,1610612766,Charlotte Hornets,82,36,46,824,2233,0.369,8874,10.048780487804878,27.23170731707317,2472,0.27856659905341447
2017-18,1610612741,Chicago Bulls,82,27,55,906,2549,0.355,8440,11.048780487804878,31.085365853658537,2718,0.32203791469194315
2017-18,1610612739,Cleveland Cavaliers,82,50,32,981,2636,0.372,9091,11.963414634146341,32.146341463414636,2943,0.32372676273237266
2017-18,1610612742,Dallas Mavericks,82,24,58,967,2688,0.36,8390,11.792682926829269,32.78048780487805,2901,0.3457687723480334
2017-18,1610612743,Denver Nuggets,82,46,36,940,2536,0.371,9020,11.463414634146341,30.926829268292682,2820,0.31263858093126384
2017-18,1610612765,Detroit Pistons,82,39,43,886,2373,0.373,8509,10.804878048780488,28.9390243902439,2658,0.312375132212951
2017-18,1610612744,Golden State Warriors,82,58,24,926,2369,0.391,9304,11.292682926829269,28.890243902439025,2778,0.2985812553740327
2017-18,1610612745,Houston Rockets,82,65,17,1256,3470,0.362,9213,15.317073170731707,42.31707317073171,3768,0.40898730055356564
2017-18,1610612754,Indiana Pacers,82,48,34,741,2010,0.369,8656,9.036585365853659,24.51219512195122,2223,0.25681608133086875
2017-18,1610612746,LA Clippers,82,42,40,777,2196,0.354,8937,9.475609756097562,26.78048780487805,2331,0.2608257804632427
2017-18,1610612747,Los Angeles Lakers,82,35,47,822,2384,0.345,8862,10.024390243902438,29.073170731707318,2466,0.27826675693974273
2017-18,1610612763,Memphis Grizzlies,82,22,60,758,2152,0.352,8145,9.24390243902439,26.24390243902439,2274,0.27918968692449353
2017-18,1610612748,Miami Heat,82,44,38,903,2506,0.36,8480,11.012195121951219,30.5609756097561,2709,0.31945754716981134
2017-18,1610612749,Milwaukee Bucks,82,44,38,718,2024,0.355,8731,8.75609756097561,24.682926829268293,2154,0.24670713549421602
